"Kingdom","Phylum","Class","Order","Family","Sequence_ID"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19064660__14949"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR10983054__32299"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19064367__22768"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR10983085__5064"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19064870__774"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19064490__13309"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR10983055__41833"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","DRR480286__3122"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","ERR10821261__20944"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19065033__5247"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19064819__8588"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19064925__7771"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19064732__19207"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","DRR480431__4853"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19064455__41665"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","ERR10825184__19472"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19064958__6761"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19064415__548"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR10403551__5815"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19064372__34492"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19064454__8819"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19064883__26084"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","DRR480437__14398"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","DRR480337__11260"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19064743__22959"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","ERR10825377__22623"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","DRR480316__8921"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","DRR480314__16348"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19065021__12002"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR10403544__71597"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","ERR10824345__4246"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19064611__2691"
