"Kingdom","Phylum","Class","Order","Family","Genus","Species"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Metamycoplasma","s__[Mycoplasma]_gypis"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Metamycoplasma","s__[Mycoplasma]_phocae"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Metamycoplasma","s__Metamycoplasma_buccale"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Metamycoplasma","s__Metamycoplasma_alkalescens"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Metamycoplasma","s__Metamycoplasma_subdolum"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Metamycoplasma","s__Metamycoplasma_salivarium"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Metamycoplasma","s__Metamycoplasma_cloacale"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Metamycoplasma","s__Metamycoplasma_equirhinis"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Metamycoplasma","s__Metamycoplasma_phocicerebrale"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Metamycoplasma","s__Metamycoplasma_sualvi"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Metamycoplasma","s__Metamycoplasma_gateae"
"k__Bacillati","p__Mycoplasmatota","Unassigned","o__Mycoplasmoidales","f__Metamycoplasmataceae","g__Metamycoplasma","s__Metamycoplasma_hyosynoviae"
